"id","dt","isworkday","isholiday"
1,2020-01-01 00:00:00.000,false,true
2,2020-01-02 00:00:00.000,false,true
3,2020-01-03 00:00:00.000,false,true
4,2020-01-04 00:00:00.000,false,true
5,2020-01-05 00:00:00.000,false,true
6,2020-01-06 00:00:00.000,false,true
7,2020-01-07 00:00:00.000,false,true
8,2020-01-08 00:00:00.000,false,true
9,2020-01-09 00:00:00.000,true,false
10,2020-01-10 00:00:00.000,true,false
11,2020-01-11 00:00:00.000,false,false
12,2020-01-12 00:00:00.000,false,false
13,2020-01-13 00:00:00.000,true,false
14,2020-01-14 00:00:00.000,true,false
15,2020-01-15 00:00:00.000,true,false
16,2020-01-16 00:00:00.000,true,false
17,2020-01-17 00:00:00.000,true,false
18,2020-01-18 00:00:00.000,false,false
19,2020-01-19 00:00:00.000,false,false
20,2020-01-20 00:00:00.000,true,false
21,2020-01-21 00:00:00.000,true,false
22,2020-01-22 00:00:00.000,true,false
23,2020-01-23 00:00:00.000,true,false
24,2020-01-24 00:00:00.000,true,false
25,2020-01-25 00:00:00.000,false,false
26,2020-01-26 00:00:00.000,false,false
27,2020-01-27 00:00:00.000,true,false
28,2020-01-28 00:00:00.000,true,false
29,2020-01-29 00:00:00.000,true,false
30,2020-01-30 00:00:00.000,true,false
31,2020-01-31 00:00:00.000,true,false
32,2020-02-01 00:00:00.000,false,false
33,2020-02-02 00:00:00.000,false,false
34,2020-02-03 00:00:00.000,true,false
35,2020-02-04 00:00:00.000,true,false
36,2020-02-05 00:00:00.000,true,false
37,2020-02-06 00:00:00.000,true,false
38,2020-02-07 00:00:00.000,true,false
39,2020-02-08 00:00:00.000,false,false
40,2020-02-09 00:00:00.000,false,false
41,2020-02-10 00:00:00.000,true,false
42,2020-02-11 00:00:00.000,true,false
43,2020-02-12 00:00:00.000,true,false
44,2020-02-13 00:00:00.000,true,false
45,2020-02-14 00:00:00.000,true,false
46,2020-02-15 00:00:00.000,false,false
47,2020-02-16 00:00:00.000,false,false
48,2020-02-17 00:00:00.000,true,false
49,2020-02-18 00:00:00.000,true,false
50,2020-02-19 00:00:00.000,true,false
51,2020-02-20 00:00:00.000,true,false
52,2020-02-21 00:00:00.000,true,false
53,2020-02-22 00:00:00.000,false,false
54,2020-02-23 00:00:00.000,false,true
55,2020-02-24 00:00:00.000,true,false
56,2020-02-25 00:00:00.000,true,false
57,2020-02-26 00:00:00.000,true,false
58,2020-02-27 00:00:00.000,true,false
59,2020-02-28 00:00:00.000,true,false
60,2020-02-29 00:00:00.000,false,false
61,2020-03-01 00:00:00.000,false,false
62,2020-03-02 00:00:00.000,true,false
63,2020-03-03 00:00:00.000,true,false
64,2020-03-04 00:00:00.000,true,false
65,2020-03-05 00:00:00.000,true,false
66,2020-03-06 00:00:00.000,true,false
67,2020-03-07 00:00:00.000,false,false
68,2020-03-08 00:00:00.000,false,true
69,2020-03-09 00:00:00.000,true,false
70,2020-03-10 00:00:00.000,true,false
71,2020-03-11 00:00:00.000,true,false
72,2020-03-12 00:00:00.000,true,false
73,2020-03-13 00:00:00.000,true,false
74,2020-03-14 00:00:00.000,false,false
75,2020-03-15 00:00:00.000,false,false
76,2020-03-16 00:00:00.000,true,false
77,2020-03-17 00:00:00.000,true,false
78,2020-03-18 00:00:00.000,true,false
79,2020-03-19 00:00:00.000,true,false
80,2020-03-20 00:00:00.000,true,false
81,2020-03-21 00:00:00.000,false,false
82,2020-03-22 00:00:00.000,false,false
83,2020-03-23 00:00:00.000,true,false
84,2020-03-24 00:00:00.000,true,false
85,2020-03-25 00:00:00.000,true,false
86,2020-03-26 00:00:00.000,true,false
87,2020-03-27 00:00:00.000,true,false
88,2020-03-28 00:00:00.000,false,false
89,2020-03-29 00:00:00.000,false,false
90,2020-03-30 00:00:00.000,true,false
91,2020-03-31 00:00:00.000,true,false
92,2020-04-01 00:00:00.000,true,false
93,2020-04-02 00:00:00.000,true,false
94,2020-04-03 00:00:00.000,true,false
95,2020-04-04 00:00:00.000,false,false
96,2020-04-05 00:00:00.000,false,false
97,2020-04-06 00:00:00.000,true,false
98,2020-04-07 00:00:00.000,true,false
99,2020-04-08 00:00:00.000,true,false
100,2020-04-09 00:00:00.000,true,false
101,2020-04-10 00:00:00.000,true,false
102,2020-04-11 00:00:00.000,false,false
103,2020-04-12 00:00:00.000,false,false
104,2020-04-13 00:00:00.000,true,false
105,2020-04-14 00:00:00.000,true,false
106,2020-04-15 00:00:00.000,true,false
107,2020-04-16 00:00:00.000,true,false
108,2020-04-17 00:00:00.000,true,false
109,2020-04-18 00:00:00.000,false,false
110,2020-04-19 00:00:00.000,false,false
111,2020-04-20 00:00:00.000,true,false
112,2020-04-21 00:00:00.000,true,false
113,2020-04-22 00:00:00.000,true,false
114,2020-04-23 00:00:00.000,true,false
115,2020-04-24 00:00:00.000,true,false
116,2020-04-25 00:00:00.000,false,false
117,2020-04-26 00:00:00.000,false,false
118,2020-04-27 00:00:00.000,true,false
119,2020-04-28 00:00:00.000,true,false
120,2020-04-29 00:00:00.000,true,false
121,2020-04-30 00:00:00.000,true,false
122,2020-05-01 00:00:00.000,false,true
123,2020-05-02 00:00:00.000,false,false
124,2020-05-03 00:00:00.000,false,false
125,2020-05-04 00:00:00.000,true,false
126,2020-05-05 00:00:00.000,true,false
127,2020-05-06 00:00:00.000,true,false
128,2020-05-07 00:00:00.000,true,false
129,2020-05-08 00:00:00.000,true,false
130,2020-05-09 00:00:00.000,false,true
131,2020-05-10 00:00:00.000,false,false
132,2020-05-11 00:00:00.000,true,false
133,2020-05-12 00:00:00.000,true,false
134,2020-05-13 00:00:00.000,true,false
135,2020-05-14 00:00:00.000,true,false
136,2020-05-15 00:00:00.000,true,false
137,2020-05-16 00:00:00.000,false,false
138,2020-05-17 00:00:00.000,false,false
139,2020-05-18 00:00:00.000,true,false
140,2020-05-19 00:00:00.000,true,false
141,2020-05-20 00:00:00.000,true,false
142,2020-05-21 00:00:00.000,true,false
143,2020-05-22 00:00:00.000,true,false
144,2020-05-23 00:00:00.000,false,false
145,2020-05-24 00:00:00.000,false,false
146,2020-05-25 00:00:00.000,true,false
147,2020-05-26 00:00:00.000,true,false
148,2020-05-27 00:00:00.000,true,false
149,2020-05-28 00:00:00.000,true,false
150,2020-05-29 00:00:00.000,true,false
151,2020-05-30 00:00:00.000,false,false
152,2020-05-31 00:00:00.000,false,false
153,2020-06-01 00:00:00.000,true,false
154,2020-06-02 00:00:00.000,true,false
155,2020-06-03 00:00:00.000,true,false
156,2020-06-04 00:00:00.000,true,false
157,2020-06-05 00:00:00.000,true,false
158,2020-06-06 00:00:00.000,false,false
159,2020-06-07 00:00:00.000,false,false
160,2020-06-08 00:00:00.000,true,false
161,2020-06-09 00:00:00.000,true,false
162,2020-06-10 00:00:00.000,true,false
163,2020-06-11 00:00:00.000,true,false
164,2020-06-12 00:00:00.000,false,true
165,2020-06-13 00:00:00.000,false,false
166,2020-06-14 00:00:00.000,false,false
167,2020-06-15 00:00:00.000,true,false
168,2020-06-16 00:00:00.000,true,false
169,2020-06-17 00:00:00.000,true,false
170,2020-06-18 00:00:00.000,true,false
171,2020-06-19 00:00:00.000,true,false
172,2020-06-20 00:00:00.000,false,false
173,2020-06-21 00:00:00.000,false,false
174,2020-06-22 00:00:00.000,true,false
175,2020-06-23 00:00:00.000,true,false
176,2020-06-24 00:00:00.000,true,false
177,2020-06-25 00:00:00.000,true,false
178,2020-06-26 00:00:00.000,true,false
179,2020-06-27 00:00:00.000,false,false
180,2020-06-28 00:00:00.000,false,false
181,2020-06-29 00:00:00.000,true,false
182,2020-06-30 00:00:00.000,true,false
183,2020-07-01 00:00:00.000,true,false
184,2020-07-02 00:00:00.000,true,false
185,2020-07-03 00:00:00.000,true,false
186,2020-07-04 00:00:00.000,false,false
187,2020-07-05 00:00:00.000,false,false
188,2020-07-06 00:00:00.000,true,false
189,2020-07-07 00:00:00.000,true,false
190,2020-07-08 00:00:00.000,true,false
