"date","p1","p2","p3","p4","p5","p6","subject"
2019-09-04 00:00:00.000,2108.585,1925.165,1276.939,925.51,916.39,2404.885,Пермский край
2019-09-04 01:00:00.000,2095.95,1753.115,1084.544,894.11,884.31,2392.25,Пермский край
2019-09-04 02:00:00.000,2088.895,1558.524,877.092,878.75,867.91,2385.195,Пермский край
2019-09-04 03:00:00.000,2086.837,1579.843,884.063,873.03,857.96,2383.137,Пермский край
2019-09-04 04:00:00.000,2147.098,1544.407,896.641,924.05,908.36,2443.398,Пермский край
2019-09-04 05:00:00.000,2237.725,1324.342,751.724,1055.34,1036.83,2534.025,Пермский край
2019-09-04 06:00:00.000,2349.442,1318.41,680.865,1186.64,1163.9,2645.742,Пермский край
2019-09-04 07:00:00.000,2385.497,1640.03,751.278,1293.42,1267.97,2692.897,Пермский край
2019-09-04 08:00:00.000,2379.83,1789.645,892.387,1298.92,1270.56,2687.23,Пермский край
2019-09-04 09:00:00.000,2378.835,1817.337,920.331,1297.47,1270.85,2686.235,Пермский край
2019-09-04 10:00:00.000,2374.744,1844.593,944.685,1278.61,1255.46,2672.544,Пермский край
2019-09-04 11:00:00.000,2398.372,1805.988,929.071,1290.34,1265.92,2696.172,Пермский край
2019-09-04 12:00:00.000,2379.279,1852.894,937.3,1266.87,1243.34,2677.079,Пермский край
2019-09-04 13:00:00.000,2380.759,1900.015,988.547,1255.02,1232.28,2678.559,Пермский край
2019-09-04 14:00:00.000,2373.121,2095.811,1066.896,1252.21,1229.12,2670.921,Пермский край
2019-09-04 15:00:00.000,2356.953,2198.713,1159.24,1259.87,1240.33,2654.753,Пермский край
2019-09-04 16:00:00.000,2345.593,2112.288,1055.064,1257.3,1235.24,2643.393,Пермский край
2019-09-04 17:00:00.000,2337.057,1970.38,950.124,1250.84,1228.18,2634.857,Пермский край
2019-09-04 18:00:00.000,2367.732,1973.115,985.207,1268.18,1244.37,2675.132,Пермский край
2019-09-04 19:00:00.000,2419.808,2047.256,1118.132,1258.87,1236.1,2727.208,Пермский край
2019-09-04 20:00:00.000,2370.984,2175.703,1197.195,1197.62,1183.72,2668.784,Пермский край
2019-09-04 21:00:00.000,2305.467,2120.44,1378.661,1032.48,1046.22,2603.267,Пермский край
2019-09-04 22:00:00.000,2181.313,2163.403,1294.178,970.45,987.84,2479.113,Пермский край
2019-09-04 23:00:00.000,2176.233,2232.421,1353.463,936.85,930.21,2472.533,Пермский край
2019-09-05 00:00:00.000,2122.081,2219.828,1316.537,911.11,903.11,2427.681,Пермский край
2019-09-05 01:00:00.000,2113.438,2074.739,1146.227,888.08,879.05,2419.038,Пермский край
2019-09-05 02:00:00.000,2100.98,1940.708,979.802,878.59,868.73,2406.58,Пермский край
2019-09-05 03:00:00.000,2104.466,1816.713,839.404,872.84,861.95,2410.066,Пермский край
2019-09-05 04:00:00.000,2169.276,1830.87,917.487,909.8,898.61,2474.876,Пермский край
2019-09-05 05:00:00.000,2219.065,1792.784,928.819,985.29,972.51,2524.665,Пермский край
2019-09-05 06:00:00.000,2313.812,1945.663,917.792,1212.47,1196.85,2619.412,Пермский край
2019-09-05 07:00:00.000,2361.602,1981.967,917.324,1252.12,1234.59,2678.302,Пермский край
2019-09-05 08:00:00.000,2364.015,2057.32,1001.591,1277.17,1258.56,2680.715,Пермский край
2019-09-05 09:00:00.000,2370.849,2075.168,1027.89,1276.4,1256.88,2687.549,Пермский край
2019-09-05 10:00:00.000,2358.934,2109.559,1051.887,1267.26,1248.32,2666.034,Пермский край
2019-09-05 11:00:00.000,2366.218,2059.909,1007.472,1267.14,1249.63,2673.318,Пермский край
2019-09-05 12:00:00.000,2354.356,2078.29,1013.253,1259.85,1243.07,2661.456,Пермский край
2019-09-05 13:00:00.000,2342.165,2105.618,1030.12,1257.22,1240.9,2649.265,Пермский край
2019-09-05 14:00:00.000,2331.767,2201.057,1121.999,1268.16,1252.48,2638.867,Пермский край
2019-09-05 15:00:00.000,2348.374,2225.035,1165.37,1340.16,1322.69,2655.474,Пермский край
2019-09-05 16:00:00.000,2360.041,2093.459,1037.338,1310.43,1291.87,2667.141,Пермский край
2019-09-05 17:00:00.000,2371.399,2001.685,951.463,1287.39,1267.8,2678.499,Пермский край
2019-09-05 18:00:00.000,2396.088,1975.41,949.448,1285.91,1266.43,2712.788,Пермский край
2019-09-05 19:00:00.000,2422.573,2102.81,1110.57,1292.25,1274.05,2739.273,Пермский край
2019-09-05 20:00:00.000,2357.947,2286.905,1207.095,1254.35,1239.05,2665.047,Пермский край
2019-09-05 21:00:00.000,2292.829,2200.874,1441.269,1085.97,1094.88,2599.929,Пермский край
2019-09-05 22:00:00.000,2189.853,2234.816,1368.183,1005.32,1019.15,2496.953,Пермский край
2019-09-05 23:00:00.000,2178.168,2293.976,1414.129,972.44,971.36,2483.768,Пермский край
2019-09-06 00:00:00.000,2115.89,2232.559,1321.801,915.21,902.58,2422.49,Пермский край
2019-09-06 01:00:00.000,2101.317,2087.273,1157.514,888.02,873.42,2407.917,Пермский край
2019-09-06 02:00:00.000,2085.057,1862.697,907.678,869.43,852.56,2391.657,Пермский край
2019-09-06 03:00:00.000,2105.102,1747.739,818.221,867.53,849.27,2411.702,Пермский край
2019-09-06 04:00:00.000,2158.791,1804.92,930.774,915.39,897.54,2465.391,Пермский край
2019-09-06 05:00:00.000,2250.848,1725.09,943.131,1011.6,990.18,2557.448,Пермский край
2019-09-06 06:00:00.000,2364.658,1858.981,930.299,1256.31,1233.12,2671.258,Пермский край
2019-09-06 07:00:00.000,2367.228,1953.386,840.041,1297.62,1269.55,2684.928,Пермский край
2019-09-06 08:00:00.000,2360.202,2041.982,927.389,1322.41,1294.11,2677.902,Пермский край
2019-09-06 09:00:00.000,2359.115,2000.415,955.37,1322.58,1293.72,2676.815,Пермский край
2019-09-06 10:00:00.000,2352.632,2052.805,1004.038,1305.8,1277.72,2660.732,Пермский край
2019-09-06 11:00:00.000,2374.74,2056.155,957.848,1291.58,1267.82,2682.84,Пермский край
2019-09-06 12:00:00.000,2350.131,2104.046,983.489,1275.07,1248.25,2658.231,Пермский край
2019-09-06 13:00:00.000,2322.561,2090.611,1016.441,1272.34,1246.28,2630.661,Пермский край
2019-09-06 14:00:00.000,2315.139,2208.144,1104.361,1277.1,1257.54,2623.239,Пермский край
2019-09-06 15:00:00.000,2308.604,2263.81,1108.826,1280.96,1261.88,2616.704,Пермский край
2019-09-06 16:00:00.000,2298.241,2165.214,993.151,1293.91,1273.03,2606.341,Пермский край
2019-09-06 17:00:00.000,2288.321,2089.409,901.149,1284.02,1262.73,2596.421,Пермский край
2019-09-06 18:00:00.000,2320.98,2043.919,887.402,1289.19,1264.88,2638.68,Пермский край
2019-09-06 19:00:00.000,2354.932,2163.656,1053.287,1277.73,1256.4,2672.632,Пермский край
2019-09-06 20:00:00.000,2324.527,2254.119,1185.813,1255.83,1236.36,2632.627,Пермский край
2019-09-06 21:00:00.000,2267.693,2308.98,1307.049,1192.73,1182.26,2575.793,Пермский край
2019-09-06 22:00:00.000,2169.011,2231.547,1381.606,1029.01,1025.93,2477.111,Пермский край
2019-09-06 23:00:00.000,2137.25,2351.309,1471.059,1019.57,1015.66,2443.85,Пермский край
2019-09-07 00:00:00.000,2077.089,2374.395,1643.274,1017.8,1010.08,2376.689,Пермский край
2019-09-07 01:00:00.000,2070.715,2160.769,1410.292,950.81,941.0,2370.315,Пермский край
2019-09-07 02:00:00.000,2033.259,2073.07,1280.511,926.67,917.11,2332.859,Пермский край
2019-09-07 03:00:00.000,2018.358,2003.906,1193.879,920.28,910.13,2317.958,Пермский край
2019-09-07 04:00:00.000,2018.886,2031.369,1221.582,944.48,934.12,2318.486,Пермский край
2019-09-07 05:00:00.000,2044.474,1887.89,1099.08,977.58,964.73,2344.074,Пермский край
2019-09-07 06:00:00.000,2136.536,1680.624,1016.919,1060.42,1042.19,2436.136,Пермский край
2019-09-07 07:00:00.000,2200.617,1893.107,910.908,1222.43,1202.26,2500.717,Пермский край
2019-09-07 08:00:00.000,2237.595,2042.178,1017.72,1280.52,1260.3,2537.695,Пермский край
2019-09-07 09:00:00.000,2279.085,1993.885,1011.248,1289.87,1270.69,2579.185,Пермский край
2019-09-07 10:00:00.000,2279.843,2024.976,1044.803,1281.3,1262.78,2579.943,Пермский край
2019-09-07 11:00:00.000,2288.23,2011.152,1040.265,1278.61,1256.03,2588.33,Пермский край
2019-09-07 12:00:00.000,2280.808,2029.362,1055.299,1288.73,1266.31,2580.908,Пермский край
2019-09-07 13:00:00.000,2247.844,2060.632,1053.999,1281.18,1260.22,2547.944,Пермский край
2019-09-07 14:00:00.000,2237.129,2056.326,1037.752,1280.53,1261.92,2537.229,Пермский край
2019-09-07 15:00:00.000,2244.676,2023.401,1010.779,1282.2,1262.98,2544.776,Пермский край
2019-09-07 16:00:00.000,2239.378,1953.059,931.868,1296.29,1275.75,2539.478,Пермский край
2019-09-07 17:00:00.000,2238.095,1948.661,924.752,1295.23,1271.44,2538.195,Пермский край
2019-09-07 18:00:00.000,2278.619,1889.953,904.327,1286.61,1255.58,2578.719,Пермский край
2019-09-07 19:00:00.000,2315.345,1992.621,1047.736,1265.05,1235.65,2615.445,Пермский край
2019-09-07 20:00:00.000,2278.486,2151.329,1145.26,1252.05,1234.44,2578.586,Пермский край
2019-09-07 21:00:00.000,2208.158,2392.819,1326.559,1213.65,1201.2,2508.258,Пермский край
2019-09-07 22:00:00.000,2115.96,2344.528,1573.044,1169.31,1162.09,2416.06,Пермский край
2019-09-07 23:00:00.000,2067.325,2330.243,1594.642,1032.39,1027.71,2366.925,Пермский край
2019-09-08 00:00:00.000,2052.699,2155.81,1391.91,946.61,937.29,2367.299,Пермский край
2019-09-08 01:00:00.000,2042.278,1944.057,1161.16,912.64,901.58,2356.878,Пермский край
2019-09-08 02:00:00.000,2014.468,1868.083,1055.119,892.01,880.53,2329.068,Пермский край
2019-09-08 03:00:00.000,1997.919,1713.778,881.002,881.51,868.95,2312.519,Пермский край
2019-09-08 04:00:00.000,1999.991,1714.9,884.654,885.11,872.48,2314.591,Пермский край
2019-09-08 05:00:00.000,2019.046,1600.042,786.698,906.28,892.32,2333.646,Пермский край
2019-09-08 06:00:00.000,2110.935,1565.857,874.988,976.32,960.16,2425.535,Пермский край
2019-09-08 07:00:00.000,2212.784,1439.665,851.97,1038.2,1013.79,2504.084,Пермский край
2019-09-08 08:00:00.000,2263.869,1729.371,823.485,1216.67,1196.19,2555.169,Пермский край
2019-09-08 09:00:00.000,2295.071,1908.504,954.86,1251.95,1231.86,2586.371,Пермский край
2019-09-08 10:00:00.000,2270.055,1906.862,926.97,1245.99,1226.33,2561.355,Пермский край
2019-09-08 11:00:00.000,2292.082,1893.981,936.846,1248.83,1228.53,2583.382,Пермский край
2019-09-08 12:00:00.000,2271.69,1904.829,926.848,1246.24,1226.21,2586.79,Пермский край
2019-09-08 13:00:00.000,2250.577,1929.971,932.025,1245.19,1224.33,2565.677,Пермский край
2019-09-08 14:00:00.000,2265.878,1917.632,934.991,1248.55,1226.8,2580.978,Пермский край
2019-09-08 15:00:00.000,2261.25,1916.366,928.883,1251.67,1228.95,2576.35,Пермский край
2019-09-08 16:00:00.000,2258.429,1788.973,793.205,1270.35,1245.32,2573.529,Пермский край
2019-09-08 17:00:00.000,2250.671,1757.879,752.688,1275.94,1248.92,2565.771,Пермский край
2019-09-08 18:00:00.000,2312.516,1704.637,761.128,1283.78,1252.68,2627.616,Пермский край
2019-09-08 19:00:00.000,2348.644,1816.867,913.809,1270.71,1248.24,2663.744,Пермский край
2019-09-08 20:00:00.000,2283.037,2018.613,1026.262,1244.83,1225.56,2598.137,Пермский край
2019-09-08 21:00:00.000,2191.295,2271.58,1265.072,1192.1,1179.33,2506.395,Пермский край
2019-09-08 22:00:00.000,2085.839,2248.829,1505.788,1168.38,1160.37,2400.939,Пермский край
2019-09-08 23:00:00.000,2056.13,2308.077,1556.958,1016.31,1007.41,2370.73,Пермский край
2019-09-09 00:00:00.000,2021.896,1984.071,1216.817,950.76,940.31,2336.496,Пермский край
2019-09-09 01:00:00.000,1992.226,1800.694,983.822,908.6,900.23,2306.826,Пермский край
2019-09-09 02:00:00.000,1990.973,1686.639,867.591,897.9,888.24,2305.573,Пермский край
2019-09-09 03:00:00.000,1999.506,1614.246,803.573,894.24,883.57,2314.106,Пермский край
2019-09-09 04:00:00.000,2054.268,1562.338,806.618,949.31,937.39,2368.868,Пермский край
2019-09-09 05:00:00.000,2161.556,1299.263,652.11,1050.01,1032.36,2476.156,Пермский край
2019-09-09 06:00:00.000,2275.226,1620.522,741.4,1258.81,1238.66,2589.826,Пермский край
2019-09-09 07:00:00.000,2278.604,1684.937,720.515,1337.62,1317.33,2604.304,Пермский край
2019-09-09 08:00:00.000,2292.318,1780.723,834.116,1367.56,1347.44,2618.018,Пермский край
2019-09-09 09:00:00.000,2281.457,1834.103,878.119,1361.62,1342.25,2607.157,Пермский край
2019-09-09 10:00:00.000,2285.616,1861.131,909.584,1350.74,1331.66,2601.716,Пермский край
2019-09-09 11:00:00.000,2336.166,1783.414,883.139,1359.92,1338.67,2652.266,Пермский край
