"date","p1","p2","p3","p4","p5","p6","subject"
2019-09-04 00:00:00.000,8048.975,477.945,391.531,896.61,870.14,9665.977,Тюменская область
2019-09-04 01:00:00.000,8023.158,386.711,592.522,894.45,867.82,9640.16,Тюменская область
2019-09-04 02:00:00.000,7998.461,337.012,685.374,892.99,866.4,9615.745,Тюменская область
2019-09-04 03:00:00.000,8017.681,380.33,567.106,894.67,867.97,9634.972,Тюменская область
2019-09-04 04:00:00.000,8108.099,551.646,351.843,911.97,884.45,9725.09,Тюменская область
2019-09-04 05:00:00.000,8238.356,582.003,457.095,1043.78,1011.16,9855.147,Тюменская область
2019-09-04 06:00:00.000,8395.587,579.119,435.642,1191.44,1153.06,10007.888,Тюменская область
2019-09-04 07:00:00.000,8507.69,601.95,381.706,1297.08,1255.08,10117.884,Тюменская область
2019-09-04 08:00:00.000,8537.077,572.676,298.974,1306.97,1264.73,10146.578,Тюменская область
2019-09-04 09:00:00.000,8524.803,632.74,258.442,1291.15,1249.78,10133.814,Тюменская область
2019-09-04 10:00:00.000,8478.81,679.797,214.48,1251.01,1211.35,10088.484,Тюменская область
2019-09-04 11:00:00.000,8489.909,665.831,223.202,1263.17,1223.26,10099.203,Тюменская область
2019-09-04 12:00:00.000,8473.654,716.049,157.78,1229.23,1190.54,10083.027,Тюменская область
2019-09-04 13:00:00.000,8510.43,722.48,102.806,1208.43,1170.47,10119.792,Тюменская область
2019-09-04 14:00:00.000,8534.875,832.343,32.538,1185.62,1148.47,10144.438,Тюменская область
2019-09-04 15:00:00.000,8554.269,810.308,27.029,1184.2,1148.68,10163.932,Тюменская область
2019-09-04 16:00:00.000,8598.383,800.6,97.317,1198.18,1162.11,10208.139,Тюменская область
2019-09-04 17:00:00.000,8635.848,811.416,133.018,1198.4,1162.13,10245.794,Тюменская область
2019-09-04 18:00:00.000,8681.591,695.687,57.843,1215.0,1178.17,10295.268,Тюменская область
2019-09-04 19:00:00.000,8607.355,846.347,132.61,1182.26,1146.57,10221.854,Тюменская область
2019-09-04 20:00:00.000,8483.106,916.556,202.512,1094.03,1061.39,10098.139,Тюменская область
2019-09-04 21:00:00.000,8290.803,972.433,200.298,910.78,883.28,9906.555,Тюменская область
2019-09-04 22:00:00.000,8147.757,585.234,238.912,898.35,872.18,9764.01,Тюменская область
2019-09-04 23:00:00.000,8083.945,524.985,345.192,895.02,868.76,9700.198,Тюменская область
2019-09-05 00:00:00.000,8006.055,512.749,608.529,890.5,863.9,9610.288,Тюменская область
2019-09-05 01:00:00.000,7976.01,468.974,803.824,887.54,860.95,9580.243,Тюменская область
2019-09-05 02:00:00.000,7959.172,394.314,741.771,886.2,859.65,9563.684,Тюменская область
2019-09-05 03:00:00.000,7979.557,339.531,686.091,889.06,861.98,9584.085,Тюменская область
2019-09-05 04:00:00.000,8130.799,462.295,357.18,895.07,868.26,9735.025,Тюменская область
2019-09-05 05:00:00.000,8258.709,838.705,37.696,909.6,881.53,9862.787,Тюменская область
2019-09-05 06:00:00.000,8416.757,849.486,25.94,1129.81,1094.72,10007.445,Тюменская область
2019-09-05 07:00:00.000,8513.456,879.238,37.754,1169.85,1133.64,10100.683,Тюменская область
2019-09-05 08:00:00.000,8510.122,897.903,56.009,1194.03,1157.34,10096.366,Тюменская область
2019-09-05 09:00:00.000,8507.084,908.121,53.083,1195.15,1158.5,10092.49,Тюменская область
2019-09-05 10:00:00.000,8472.591,908.91,51.246,1184.07,1147.81,10057.398,Тюменская область
2019-09-05 11:00:00.000,8477.55,906.938,52.118,1179.92,1143.78,10062.356,Тюменская область
2019-09-05 12:00:00.000,8460.629,920.263,49.698,1171.59,1135.7,10052.285,Тюменская область
2019-09-05 13:00:00.000,8456.33,936.014,61.435,1167.48,1131.72,10048.447,Тюменская область
2019-09-05 14:00:00.000,8455.017,938.825,61.762,1175.2,1139.24,10047.233,Тюменская область
2019-09-05 15:00:00.000,8491.515,970.797,61.45,1242.13,1204.19,10083.932,Тюменская область
2019-09-05 16:00:00.000,8532.892,876.406,5.172,1226.2,1188.59,10125.36,Тюменская область
2019-09-05 17:00:00.000,8574.185,852.394,5.421,1211.54,1174.2,10167.435,Тюменская область
2019-09-05 18:00:00.000,8633.673,886.477,93.324,1205.69,1168.47,10230.653,Тюменская область
2019-09-05 19:00:00.000,8579.724,996.806,208.055,1190.51,1153.8,10177.004,Тюменская область
2019-09-05 20:00:00.000,8439.529,1079.179,251.802,1144.61,1109.27,10037.209,Тюменская область
2019-09-05 21:00:00.000,8254.558,1125.269,277.902,951.26,921.93,9852.388,Тюменская область
2019-09-05 22:00:00.000,8138.455,910.747,251.975,904.77,877.42,9693.285,Тюменская область
2019-09-05 23:00:00.000,8082.608,738.297,265.44,900.49,873.2,9637.438,Тюменская область
2019-09-06 00:00:00.000,8019.474,519.887,433.164,894.08,866.57,9574.474,Тюменская область
2019-09-06 01:00:00.000,7992.574,471.053,586.334,891.47,863.76,9547.574,Тюменская область
2019-09-06 02:00:00.000,7974.41,401.142,663.239,890.59,862.93,9529.706,Тюменская область
2019-09-06 03:00:00.000,7991.897,356.383,570.979,891.02,863.36,9547.109,Тюменская область
2019-09-06 04:00:00.000,8148.005,522.59,213.256,898.15,870.86,9702.915,Тюменская область
2019-09-06 05:00:00.000,8304.041,839.682,41.036,943.32,914.01,9858.804,Тюменская область
2019-09-06 06:00:00.000,8466.008,957.503,5.318,1164.6,1129.75,10020.18,Тюменская область
2019-09-06 07:00:00.000,8544.58,894.008,21.701,1227.19,1190.38,10098.653,Тюменская область
2019-09-06 08:00:00.000,8566.004,876.098,42.663,1250.82,1213.53,10119.773,Тюменская область
2019-09-06 09:00:00.000,8556.63,897.831,56.077,1245.84,1208.78,10109.994,Тюменская область
2019-09-06 10:00:00.000,8498.527,942.834,43.743,1226.56,1190.09,10051.092,Тюменская область
2019-09-06 11:00:00.000,8498.374,933.578,37.031,1207.03,1171.22,10051.028,Тюменская область
2019-09-06 12:00:00.000,8487.272,950.498,44.987,1200.03,1164.48,10039.917,Тюменская область
2019-09-06 13:00:00.000,8480.878,965.733,52.41,1192.8,1157.43,10033.584,Тюменская область
2019-09-06 14:00:00.000,8466.339,989.594,59.209,1182.56,1147.54,10022.071,Тюменская область
2019-09-06 15:00:00.000,8469.601,967.816,38.456,1190.42,1155.11,10028.504,Тюменская область
2019-09-06 16:00:00.000,8512.103,921.341,30.106,1226.74,1189.06,10082.144,Тюменская область
2019-09-06 17:00:00.000,8574.211,876.406,32.144,1226.23,1188.27,10148.241,Тюменская область
2019-09-06 18:00:00.000,8651.874,812.745,57.273,1237.27,1199.31,10225.617,Тюменская область
2019-09-06 19:00:00.000,8605.764,972.847,170.333,1199.0,1162.4,10179.713,Тюменская область
2019-09-06 20:00:00.000,8491.118,1153.15,241.29,1145.59,1111.46,10065.517,Тюменская область
2019-09-06 21:00:00.000,8313.596,1180.794,281.281,1067.11,1034.93,9888.097,Тюменская область
2019-09-06 22:00:00.000,8162.421,1189.778,273.615,914.86,886.85,9736.921,Тюменская область
