"id","member","subject","period","codes","date","hour"
419031,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2012","PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE",2012-01-10,9
419032,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2012","PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE",2012-01-11,9
419033,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2012","PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE",2012-01-12,8
419034,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2012","PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE",2012-01-13,9
419035,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2012","PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE",2012-01-16,9
419036,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2012","PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE",2012-01-17,9
419037,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2012","PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE",2012-01-18,9
419038,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2012","PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE",2012-01-19,9
419039,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2012","PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE",2012-01-20,8
419040,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2012","PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE",2012-01-23,9
419041,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2012","PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE",2012-01-24,9
419042,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2012","PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE",2012-01-25,9
419043,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2012","PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE",2012-01-26,8
419044,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2012","PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE",2012-01-27,9
419045,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2012","PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE",2012-01-30,8
419046,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2012","PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE, PPERMENE",2012-01-31,8
40207,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2013",PPERMENE,2013-01-09,18
40208,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2013",PPERMENE,2013-01-10,18
40209,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2013",PPERMENE,2013-01-11,18
40210,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2013",PPERMENE,2013-01-14,18
40211,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2013",PPERMENE,2013-01-15,18
40212,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2013",PPERMENE,2013-01-16,18
40213,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2013",PPERMENE,2013-01-17,18
40214,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2013",PPERMENE,2013-01-18,18
40215,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2013",PPERMENE,2013-01-21,9
40216,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2013",PPERMENE,2013-01-22,8
40217,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2013",PPERMENE,2013-01-23,8
40218,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2013",PPERMENE,2013-01-24,19
40219,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2013",PPERMENE,2013-01-25,8
40220,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2013",PPERMENE,2013-01-28,8
40221,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2013",PPERMENE,2013-01-29,8
40222,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2013",PPERMENE,2013-01-30,8
40223,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2013",PPERMENE,2013-01-31,8
80348,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2014",PPERMENE,2014-01-09,18
80331,"ОАО ""Оборонэнергосбыт""",Пермский край,"01.2014","POBOR250,POBOR259",2014-01-09,18
80332,"ОАО ""Оборонэнергосбыт""",Пермский край,"01.2014","POBOR250,POBOR259",2014-01-10,18
80349,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2014",PPERMENE,2014-01-10,18
80350,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2014",PPERMENE,2014-01-13,18
80333,"ОАО ""Оборонэнергосбыт""",Пермский край,"01.2014","POBOR250,POBOR259",2014-01-13,18
80351,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2014",PPERMENE,2014-01-14,19
80334,"ОАО ""Оборонэнергосбыт""",Пермский край,"01.2014","POBOR250,POBOR259",2014-01-14,19
80352,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2014",PPERMENE,2014-01-15,19
80335,"ОАО ""Оборонэнергосбыт""",Пермский край,"01.2014","POBOR250,POBOR259",2014-01-15,19
80336,"ОАО ""Оборонэнергосбыт""",Пермский край,"01.2014","POBOR250,POBOR259",2014-01-16,18
80353,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2014",PPERMENE,2014-01-16,18
80337,"ОАО ""Оборонэнергосбыт""",Пермский край,"01.2014","POBOR250,POBOR259",2014-01-17,9
80354,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2014",PPERMENE,2014-01-17,9
80355,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2014",PPERMENE,2014-01-20,18
80338,"ОАО ""Оборонэнергосбыт""",Пермский край,"01.2014","POBOR250,POBOR259",2014-01-20,18
80339,"ОАО ""Оборонэнергосбыт""",Пермский край,"01.2014","POBOR250,POBOR259",2014-01-21,9
80356,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2014",PPERMENE,2014-01-21,9
80340,"ОАО ""Оборонэнергосбыт""",Пермский край,"01.2014","POBOR250,POBOR259",2014-01-22,9
80357,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2014",PPERMENE,2014-01-22,9
80358,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2014",PPERMENE,2014-01-23,18
80341,"ОАО ""Оборонэнергосбыт""",Пермский край,"01.2014","POBOR250,POBOR259",2014-01-23,18
80359,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2014",PPERMENE,2014-01-24,18
80342,"ОАО ""Оборонэнергосбыт""",Пермский край,"01.2014","POBOR250,POBOR259",2014-01-24,18
80360,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2014",PPERMENE,2014-01-27,8
80343,"ОАО ""Оборонэнергосбыт""",Пермский край,"01.2014","POBOR250,POBOR259",2014-01-27,8
80344,"ОАО ""Оборонэнергосбыт""",Пермский край,"01.2014","POBOR250,POBOR259",2014-01-28,8
80361,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2014",PPERMENE,2014-01-28,8
80362,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2014",PPERMENE,2014-01-29,9
80345,"ОАО ""Оборонэнергосбыт""",Пермский край,"01.2014","POBOR250,POBOR259",2014-01-29,9
80346,"ОАО ""Оборонэнергосбыт""",Пермский край,"01.2014","POBOR250,POBOR259",2014-01-30,9
80363,"ОАО ""Пермэнергосбыт""",Пермский край,"01.2014",PPERMENE,2014-01-30,9
